電子通路            | 3C通路商
太陽能             | 太陽能電池模組
軟體/雲端           | 套裝軟體
(無)             | 安全監控
感測/影像IC         | 安全監控IC
(無)             | 客戶關係管理
IC封裝            | 封測服務與材料
IC封裝            | 封測用設備
通訊IC            | 射頻前端晶片
通訊IC            | 射頻前端模組
通訊IC            | 射頻開關
載板              | 導線架
面板              | 導電玻璃
衛星通訊            | 小型衛星地面站
MCU/嵌入式         | 嵌入式晶片
電腦周邊            | 工業電腦
消費電子            | 平板電腦
半導體設備           | 廠務工程
電腦周邊            | 強固電腦
光學/相機           | 影像感測元件
(無)             | 影音IC
音響/耳機           | 微型揚聲器
消費電子            | 微投影機
感測/影像IC         | 感測元件
軟體/雲端           | 應用軟體
電腦周邊            | 手寫板
行動通訊            | 手機
行動通訊            | 手機晶片相關
行動通訊            | 手機製造
遊戲/電競           | 手機遊戲
行動通訊            | 手機鏡頭模組
電子通路            | 手機零售通路商
行動通訊            | 手機零組件
行動通訊            | 手機面板驅動IC
面板              | 投影機
被動元件            | 振盪器
電腦周邊            | 掃瞄器
電腦周邊            | 掌上型工業電腦
IC封裝            | 探針、探針卡
網通設備            | 接取設備
光學/相機           | 攝影設備
電腦周邊            | 教育筆電
散熱              | 散熱模組
散熱              | 散熱風扇馬達
光學/相機           | 數位相機
光學/相機           | 數位相機組裝
面板              | 數位看板
PMIC/電源IC       | 數位電視IC
網通設備            | 數據機
通訊IC            | 數據機晶片組
晶圓代工            | 晶圓代工
MCU/嵌入式         | 晶片組
被動元件            | 晶片電阻
(無)             | 智慧卡相關
行動通訊            | 智慧型手機
消費電子            | 智慧手錶
電腦周邊            | 桌上型電腦
電腦周邊            | 條碼掃描器
電子製造服務          | 樞紐
電子製造服務          | 模具沖壓
感測/影像IC         | 機上盒晶片
機器人/自動化         | 機器人
機器人/自動化         | 機器手臂
電子製造服務          | 機殼
電子製造服務          | 機殼表面處理
半導體設備           | 檢測驗證服務
電池              | 正極材料
MCU/嵌入式         | 消費性IC
消費電子            | 消費性電子產品
電池              | 消費用電池
面板              | 液晶電視
載板              | 測試用板卡
(無)             | 準系統
電腦周邊            | 滑鼠
被動元件            | 濾波器
機器人/自動化         | 無人機
電源供應器           | 無線充電
通訊IC            | 無線網路IC
網通設備            | 無線網路設備系統(WLAN)
散熱              | 熱導管
被動元件            | 熱敏電阻
消費電子            | 物聯網裝置
PCB             | 玻璃基板加工
PCB             | 玻纖布
感測/影像IC         | 生物辨識IC
生物辨識            | 生物辨識相關
網通設備            | 用戶端設備
軟體/雲端           | 直播平台
被動元件            | 石英元件
晶圓代工            | 矽晶圓
半導體材料           | 研磨液／墊
晶圓代工            | 砷化鎵相關
電腦周邊            | 硬碟相關
(無)             | 碟片預錄
電源供應器           | 磁性元件
電腦周邊            | 磁碟陣列控制器
晶圓代工            | 磊晶
軟體/雲端           | 社群網站與媒體
感測/影像IC         | 程式開關
消費電子            | 穿戴式裝置
晶圓代工            | 第三類半導體
電腦周邊            | 筆記型電腦
散熱              | 筆記型電腦用散熱模組
電腦周邊            | 筆記型電腦製造
軟體/雲端           | 系統整合
網通設備            | 網路交換器
通訊IC            | 網路卡IC
通訊IC            | 網路通訊IC
網通設備            | 網通設備
AI晶片            | 繪圖IC
AI伺服器           | 繪圖卡
音響/耳機           | 耳機
面板              | 背光模組
機器人/自動化         | 自動化設備
電腦周邊            | 自動資料收集產品
音響/耳機           | 藍牙耳機
軟體/雲端           | 虛擬實境
行動通訊            | 行動通訊
衛星通訊            | 衛星導航
通訊IC            | 衛星導航晶片組
衛星通訊            | 衛星通訊服務
衛星通訊            | 衛星通訊設備
被動元件            | 被動元件
被動元件            | 被動元件上游
消費電子            | 視訊會議產品
消費電子            | 視訊轉換相關
感測/影像IC         | 觸控IC
面板              | 觸控面板
電腦周邊            | 記憶卡
感測/影像IC         | 記憶卡IC
記憶體             | 記憶體模組
半導體設備           | 設備儀器商
AI晶片            | 設計IP
消費電子            | 語音助理
生物辨識            | 語音辨識
電源供應器           | 變壓器
網通設備            | 資安設備
軟體/雲端           | 資訊安全
電動車             | 車用鋰電池
電動車             | 車用電子
機器人/自動化         | 軍用無人機
PCB             | 軟板
PCB             | 軟板PI
PCB             | 軟板基板
軟體/雲端           | 軟體業
軟體/雲端           | 軟體通路／代理
(無)             | 辦公用品設備
行動通訊            | 通訊服務
網通設備            | 通訊設備零組件
連接器             | 連接器
連接器             | 連接線材
電腦周邊            | 週邊產品
遊戲/電競           | 遊戲機
遊戲/電競           | 遊戲產業
半導體設備           | 量測儀器
IC封裝            | 金、錫凸塊
電池              | 鉛酸蓄電池
被動元件            | 鉭質電解電容
PCB             | 銅箔
PCB             | 銅箔基板
被動元件            | 鋁質電解電容
電池              | 鋰電池
電腦周邊            | 鍵盤
電子製造服務          | 鎂鋁合金
通訊IC            | 集線器IC
軟體/雲端           | 雲端科技
PCB             | 雷射鑽孔機、鑽頭
網通設備            | 電信設備
行動通訊            | 電信／數據服務
電動車             | 電動機車
電動車             | 電動車
軟體/雲端           | 電商平台
軟體/雲端           | 電商服務
電子通路            | 電子元件代理商
(無)             | 電子其他
軟體/雲端           | 電子支付
消費電子            | 電子書閱讀器
面板              | 電子紙
電子製造服務          | 電子製造服務
電子通路            | 電子通路
(無)             | 電子零件元件
被動元件            | 電容
被動元件            | 電感
功率半導體           | 電晶體
電池              | 電池
PMIC/電源IC       | 電池保護IC
電池              | 電池材料相關
電源供應器           | 電源供應器
PMIC/電源IC       | 電源管理IC
電腦周邊            | 電競筆電
遊戲/電競           | 電競週邊
音響/耳機           | 電聲產品
AI伺服器           | 電腦系統業
電子通路            | 電腦通路商
消費電子            | 電話／傳真機
被動元件            | 電阻
記憶體             | 非揮發性記憶體
面板              | 面板業
半導體設備           | 面板設備
面板              | 面板零組件
音響/耳機           | 音響設備及零件
PMIC/電源IC       | 類比IC
面板              | 顯示器
面板              | 顯示器零件
PMIC/電源IC       | 馬達IC
通訊IC            | 高速傳輸介面IC
音響/耳機           | 麥克風
